2025_Market_Value,Improvement_Market_Value,Total_Land_Market_Value,Main_Area_Sq_Ft,Main_Area_Value,Garage_Sq_Ft,Garage_Value,Land_Sq_Ft
531703,485373,46330,2743,449668,484,35705,7988
504815,458572,46243,2610,419843,525,38729,7973
573558,527274,46284,2851,460543,918,66731,7980
469131,422975,46156,2991,390541,552,32434,7958
1218146,116617,101529,3097,624126,1095,96763,17505
569992,511992,58000,3036,447924,575,38175,10000
602427,538677,63750,2877,432168,909,61445,10625
460288,415135,45153,2241,376845,506,38290,7785
968766,888796,79970,2041,367600,550,44577,13788
550119,505175,44944,2582,433934,550,41595,7749
709604,642133,67471,3147,570725,325,26523,11633
580969,536025,44944,2910,474970,550,40397,7749
480134,432539,47595,2842,374951,550,32653,8206
467935,422991,44944,2382,385155,520,37836,7749
610318,553356,56962,2925,482340,552,40962,9821
538409,494642,43767,2773,451287,592,43355,7546
1218146,1116617,101529,3097,624126,483,43802,17505
534991,488260,46731,2806,448552,552,39708,8057
645249,572105,73144,3219,515077,792,57028,12611
511115,466171,44944,2636,427626,528,38545,7749
594432,549221,45211,2962,483458,528,38781,7795
498357,453413,44944,2527,415934,506,37479,7749
491374,446221,45153,2444,405188,550,41033,7785
511166,467161,44005,2652,430222,506,36939,7587
418286,373092,45194,2252,338833,506,34259,7792
580180,535439,44741,2902,468781,506,36782,7714
570962,526673,44289,2743,444984,1119,81689,7636
537870,492212,45658,2809,453758,529,38454,7872
469010,423898,45112,2279,387270,479,36628,7778
610407,564749,45658,2148,331544,528,36674,7872
525573,479498,46075,2697,437522,575,41976,7944
521957,476299,45658,2628,435303,550,40996,7872
530604,484488,46116,2707,443767,552,40721,7951
555046,509388,45658,2696,441963,338,24934,7872
469131,422975,46156,2991,390541,552,32434,7958
538374,492716,45658,2768,453766,528,38950,7872
532125,485922,46203,2745,449996,487,35926,7966
556802,511144,45658,2927,443268,576,39254,7872
504815,458572,46243,2610,419843,525,38729,7973
531620,485962,45658,2758,447417,528,38545,7872
573558,527274,46284,2851,460543,528,38381,7980
434345,390839,43506,2417,358531,484,32308,7501
531703,485373,46330,2743,449668,484,35705,7988
514098,465906,48192,2593,426798,528,39108,8309
538409,494642,43767,2773,451287,592,43355,7546
